Username;Comment;Time;Label
@tantriyafatmasari;jadi kangen ngebolang di sorong pas PMM kemaren;5 bulan yang lalu;0
@genevadouglassbianco-k6c;Streamer favorit ❤ dan selalu menunggu update terbarunya 😁😁 semangat terus bang 💪💪 salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴;1 hari yang lalu;1
@AdityaFWwtn;sketer terus muncul, tiap maen jepek;1 hari yang lalu;1
@alleaalterioalthair8686;Kebelah 2 :);1 tahun yang lalu;0
@PLAYER_GAMING-ZXZ;Jan di spil;6 bulan yang lalu;0
@silentriders3218;Manlkiw.. belajar kelangkaan 17 thn lalu waktu matrikulasi s2;9 bulan yang lalu;0
@Guntur0eCAJ;Modal kecil lgsng jepek di Gates;1 hari yang lalu;1
@TheGindroFamily;Sambangi pulau matan Bang, dulu 2020 masih alami pulaunya. Pemandangan dari puncak bisa lihat paus jika beruntung. #PulauMatan;7 bulan yang lalu;0
@ocamangarum6877;Mmg jauh bang..saya dari batam trus transit dijakarta transit lagi ke bali kemudian maumere tetakhir sy sampe ke timika.capek tp begitu pesawat mau mendarat di timika sy takjub dengan alam di timika dan menagis karna impian saya sejak kuliah sy ingi melayani orang papua yg sakit disana dan akhirnya tercapai...senang berbaur drngan masyarakat ditimika.love papua,,saya papua dan sll menjadi bagian dari masyarakat papua❤❤❤❤;5 bulan yang lalu;0
@JasperGD5SV;Jepe terus tiap maen, nggak prnh gagal;1 hari yang lalu;1
@666Zynx;papi mami dan anak bungsu lagi jalan jalan ke pasar malem:_hore::_menggoda::_menggoda:;5 bulan yang lalu;0
@PP-pm4io;saya aslinya dua;1 tahun yang lalu;0
@handy3415;Di aku buffering mulu;1 tahun yang lalu;0
@AbiemAM;Hadirrrr;1 tahun yang lalu;0
@nightgamingpk;Hadir...;1 tahun yang lalu;0
@ALBYWINSPECTOR-wc7vh;Bang coba beli mainan di pop mart;1 tahun yang lalu;0
@veterantanamodindi7468;Kiko enak tau ',;1 tahun yang lalu;0
@EnongNurhayati-ko3pw;Bg mau beli kiko🗿;1 tahun yang lalu;0
@estysetyoestysetyo3238;Haloooo;8 bulan yang lalu;0
@Bonayjoln;Baru coba, lgsng makswin;1 hari yang lalu;1
@Yaudahlahh;Menarik menarik menarikkkkk lanjut bangg 😢😢;1 tahun yang lalu;0
@ggbb056;Wahh ternyata Si mr redy Adalah peramal;1 tahun yang lalu;0
@leoelader_;Hadeer;1 tahun yang lalu;0
@ahmadmaulana9654;Asli gua juga ASN P3K tepatnya, jenuh tiap hari repeat gitu2 aja, gajih umr gitu2 aja, tapi harga tanah, rumah dan lainnya mahal, apalagi rokok naiknya gak masuk akal;1 tahun yang lalu;0
@natannael7781;Saya;1 tahun yang lalu;0
@jiqballl;Pake chest strap yg di pake vlog motor;6 hari yang lalu (diedit);0
@chichiput6364;Kiko satoru dari anime jujur kasian hadir;1 tahun yang lalu;0
@KiaraRoberts-s1v;jepey terus di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, beneran!;22 jam yang lalu;1
@padikasetrasunda2696;P;1 tahun yang lalu;0
@pubgkorea-bi9ez;awoo;5 bulan yang lalu;0
@wafiyuddin1959;Keren kak;2 bulan yang lalu;0
@Emiytya;Nyoba santai aja, tapi dapetnya luar biasa;1 hari yang lalu;1
@ayutriana3570;Astagaa udah expect gojo 10jt size besar eh malah KIKO 😩😫;1 tahun yang lalu;0
@emporiopratama826;Sama bang, gw kira hp yg trouble, tp backsound nya malah kenceng 😂;6 hari yang lalu;0
@aresgagah7250;gg bg;1 tahun yang lalu (diedit);0
@adriandanielsaputra9527;Terimakasih bang;1 tahun yang lalu;0
@manusiabiasa1095;bro bikin film dong, gw pengen liat hasil film lu, lu kan jago tuh ngekritik..pengen liat karya dari POV lu aja;6 hari yang lalu;0
@GadingelfahriElfahri;Bang tadi gua lagi nonton tiba tiba lu sudah bikin Vidio 😅;1 tahun yang lalu;0
@bisrimustofa9713;Murah banget segtu banyak 383 rb ?❤❤;6 bulan yang lalu;0
@kurapikawiife;Tumben bgt aku gercep 😂;1 tahun yang lalu;0
@zainunalfikri5810;kenapa ke Wayag mahal ya?;1 bulan yang lalu;0
@jancokasu2178;Bobobobobobo lehhh😅😅;1 tahun yang lalu;0
@taherarfan2897;aku;1 tahun yang lalu;0
@vaisihombing9777;Nonton HP 50 juta ++ pakai samsung J7 Prime 😂😂😂;1 hari yang lalu;0
@nabillaryd;🎉🎉🎉;5 bulan yang lalu;0
@WesleyHuang;Kek nya kepikiran mge rate ootd influencer x ya...;4 bulan yang lalu;0
@HulseyTomas-r8s;Geloo 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 Cair terus x100;1 hari yang lalu;1
@hayrul6044;"Siapa yang melakukan vote? 
Kalau publik secara umum jelas dari indonesia, taukan netizen indo kaya apa?";21 jam yang lalu;0
@rikirizaldir8;Seru bet euy.;5 bulan yang lalu;0
@haikal7091;Hadir;1 tahun yang lalu;0
@idk_what_to_writ;Hadiirrrr;1 tahun yang lalu;0
