Username,Comment,Time
@Tentanggitar,Kyou gg sih game 3,20 menit yang lalu
@Waiz090,Kok g bs di donload,43 menit yang lalu
@yhwss,"Kasian dewa, lagian predin masih aja dipake. Coach nya baru keluar dari goa kah dewa? Apa emang rey nya yg mau pake 😂",13 jam yang lalu
@gusdwira-w6p,Aeron masi main kah?,16 jam yang lalu
@aldiraharjo3578,"TERUNTUK YANG PEGANG YOUTUBE MPL INDONESIA, APA GA ADA SOLUSI BUAT NGILANGIN KOMEN JUDOL, KALO DI BIARIN BISA BISA CHANEL INI BAKALAN DI SANGKA PROMOSI JUDOL, MASA SEKELAS ADMIN ADMIN MPL GAK PEKA HAL SEKECIL INI",18 jam yang lalu (diedit)
@venusbayuanantavenus6387,Favian acu  gokil abis emng,21 jam yang lalu
@ColeySchulze-g4d,gw udah coba guys di Weton88 cair mulu 👍,22 jam yang lalu
@KiaraRoberts-s1v,"jepey terus di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴, beneran!",22 jam yang lalu
@LombardoPaine-j4q,"Cakep Kali 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩, Bravo..",22 jam yang lalu
@CorcoranOsborn-s7g,"Bermain bersama teman-teman di Weton88 semakin seru dan asyik, semakin banyak pula rezekinya!",22 jam yang lalu
@FairclothSamantha-v6k,Cair terus ini kakak mantap banget cuan di Weton88,22 jam yang lalu
@JonahChastity-u6u,Gw paling demen gas di 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩 wkwkwkww seru. Harus sering2 sih ini mah,22 jam yang lalu
@AaliyahFoley-m8d,Ada notif langsung nonton 😂😂 soalnya habis jepe di WETON88,22 jam yang lalu
@DentonShekinah-p9s,"Cakep Kali 🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴🚩, Bravo..",22 jam yang lalu
@AyleenGreen-z6e,0:02 Wah keren Weton88 terbaik menang mudah,22 jam yang lalu
@ToddLyles-c8x,Gak pernah kecewa nonton video kamu! Selalu bermanfaat dan seru! dp 5k di Weton88,22 jam yang lalu
@RuddLove-s3o,Lancar lancar bang salam Jepe ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,22 jam yang lalu
@CardwellTerrance-g5q,🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 tempat paling uhuy!,22 jam yang lalu
@SadeGilberto-h5t,auto jepey! 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,22 jam yang lalu
@NegronCallie-e6b,Sehat selalu semuanya salam dari 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 gampang jepe,22 jam yang lalu
@bryanimanuelwijaya1687,JUDOL GOBLOK,8 jam yang lalu
@SandersMargarita-x6i,"Konten yang gw tunggu sehabis pulang kerja gas ramaikan bro biar mledak vidionya ,Salam ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴!",22 jam yang lalu
@LittlejohnHooper-j4w,Memang web terbaik se asia gak salah pilih cuma 🚩Weton88🚩 yang bisa gni !,22 jam yang lalu
@ArmentaGideon-c2d,"gacir banget, main di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴",22 jam yang lalu
@SalterTianna-l6s,Geloo 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 Cair terus x100,22 jam yang lalu
@MarinoYosef-s3m,"Salut bang keren kontennya , salam Jepe DI ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴",22 jam yang lalu
@EliasMarkus-d5b,Awal kebangkitan cuan pasti di WETON88,22 jam yang lalu
@DarioSanborn-t2m,Cair terus ini kakak mantap banget cuan di Weton88,22 jam yang lalu
@BaronMacie-d6x,⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴 bikin ketagihan!,22 jam yang lalu
@HawleyNoland-z9c,Gak pernah kecewa nonton video kamu! Selalu bermanfaat dan seru! dp 5k di Weton88,22 jam yang lalu
@AlysonOverstreet-g7o,Semangat bang buat konten nya 😊Salam 𝗪𝗘𝗧𝗢𝗡𝟴𝟴! gampang Jepe,22 jam yang lalu
@CoulterSumner-q7p,🚩𝗪𝗘𝗧𝗢𝗡𝟴𝟴 tempat paling uhuy!,22 jam yang lalu
@GannKrueger-s4z,❤ 𝗪𝗘𝗧𝗢𝗡𝟴𝟴 ❤,22 jam yang lalu
@DailyMercer-k5q,Cair terus ini kakak mantap banget cuan di Weton88,22 jam yang lalu
@HerrmannBourne-o2x,0:01 YOo coba di Weton88 modal 5k aja bisa jepee ⭐,22 jam yang lalu
@WillsValdez-c7t,Streamer favorit ❤ dan selalu menunggu update terbarunya 😁😁 semangat terus bang 💪💪 salam Jepe 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,22 jam yang lalu
@SpencerMcCrary-q7h,"ke 3 bang ,salam jepe Weton88",22 jam yang lalu
@RachealGarnett-n5b,"gacir banget, main di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴",22 jam yang lalu
@WagonerMadrid-e1g,yang pro aja bang di Weton88 👍,22 jam yang lalu
@HayliWatters-l6l,0:03 Keren boleh coba bang gas di 𝗪𝗘𝗧𝗢𝗡𝟴𝟴,22 jam yang lalu
@DaraMead-r3x,Akhirrrnyaaa bagus konten abang !! luar biasa coba main di ⭐𝗪𝗘𝗧𝗢𝗡𝟴𝟴,22 jam yang lalu
@bryanimanuelwijaya1687,TOLOL MAIN JUDOL AJA LU,8 jam yang lalu
@MorrisseyVarney-s9f,"Sempet coba yang lain tapi gak semanis di 🚩Weton88🚩 ,sering ngasih wede bang coba deh cari aja di google",22 jam yang lalu
@WeiEAD6E,"Baru coba main di 𝐀 𝐗 𝐿 𝟽 𝟽 𝟽, eh rezekinya langsung gacir. Mantap banget!",23 jam yang lalu
@Liyanaa5nIc,"Rezeki tak terduga datang dari 𝘈 𝘟 L 𝟽 𝟽 𝟳, makasih banyak!",23 jam yang lalu
@Dewi8fUjT,Penasaran sama temen-temen yang menang besar? Coba di 𝘈 𝐸 𝑅 𝙊 8 8!,23 jam yang lalu
@AndiHZb0P,𝐃 𝐎 𝙍 𝘈 𝟽 7 emang gachor parah,23 jam yang lalu
@LingBghrz,"𝘋 E 𝙒 𝘼 𝘿 О Я А mekswin, de poin 50",23 jam yang lalu
@NurulcXj6N,𝐷 𝙊 R А 7 𝟽menyediakan ruang untuk koneksi profesional.,23 jam yang lalu
@ChenQYVsO,"maen di А 𝐸 𝙍 О 𝟴 𝟾, auto kaya",23 jam yang lalu
@AyuQoD7H,"Iseng-iseng mencoba bermain 𝐷 𝐸 𝑊 𝘼 D 𝑂 𝐑 𝘼, justru malah menjadi ahli, rezeki terus menerus datang!",23 jam yang lalu
@arrashyalafgani3977,"Jangankan mpl id, ph aja ga berani lepas fanny favian. 
Tp gatau juga, di mpl id kita punya coach adi dengan statement legendarisnya : kita bisa lawan",23 jam yang lalu
@muhammadaldy1226,Minimal 2:0 lahh 😁,23 jam yang lalu
@jaelanijay5150,rey blum layak MPL,1 hari yang lalu
@meeraKash-u8n,Hadirkan kemenangan dengan 🅿️🆄🅻🅰️🆄777!,1 hari yang lalu
