Username;Comment;Time
@ngelantur;"Oiya btw disini gua banyak potong bagian cinematography, akting, & masalah teknis lainnya karena ya film Bang Jokan kalo masalah visual udah gak usah komentar lah… & jadi kepanjangan videonya kalo gua bahas semua. Kalo akting bagus semua kecuali edwin pas masih SMA, keliatan kurang jam terbang but itsokay, pemilihan musik & skoring udah cakep, editing juga on point, teknis gk terlalu ada masalah lah.

Sama gua pengen nambahin, kalo masih ada orang yang bilang “Film ini pasti ada lanjutannya, pasti ada universe sendiri” artinya dia salah menangkap filmnya karena kejebak di sisi realitas.  Pegang omongan gua, ini film gak bakal ada lanjutannya… keliatan dari style filmnya yang memang sengaja dibuat kaya gini, unsur nihilistik disertai simbolisasi harapan di akhir, itu bagian dari surealis. Tapi balik lagi masalanya di positioning, dari opening film ini sangat bagus dilihat dari realita, dan itu menjebak penonton ke dunia realita sehingga ketika nonton sampai habis penonton akan bingung memposisikan menonton film ini dari sisi mana…";6 hari yang lalu (diedit)
@Pokje_nizam;Filem ini seperti mengambarkan suasana sekarang di Indonesia, kebuluran, korupsi, perlecehan dan banyak lagi;1 jam yang lalu
@anepzan7463;Bang bisa ka kamu review film blood brothers dari Malaysia??;1 jam yang lalu
@auffirdaus871;bos nanti review cerita “Blood Brother “ dari malaysia…nak dgr pandangan bos…;2 jam yang lalu
@fifirofiiah8079;Tim, lu kelewatan sm easter egg di film ini. Kristo punya saudara kembar identik. Ibunya TKW di malaysia, dan ayahnya orang malaysia. Fix, dia kembar sama Tony di pengabdi setan.;5 jam yang lalu (diedit)
@sos1063;JOKO ANWAR YOOOO🔥🔥🔥🔥 TOTALITAS TANPA BATASS;10 jam yang lalu (diedit)
@Girimawon;Gila di 20 detik awal kek berasa mimpi adegannya, dan filmnya jokan banyak terinsfirasi dari mimpi keknya;10 jam yang lalu
@Abiranzi;Dibayar berapa ama joko anwar?;10 jam yang lalu
@RitMun-m3s;bang review film who am i tahun 2014;10 jam yang lalu
@asaarbaya4409;volumenya bnerin dulu bang naik turun tuh sama cuplikan video kamu, g nyaman nontonnya;10 jam yang lalu
@hidayatdayat1342;Tangan Panca wkt krusuhan trgores pisau demi mnolong Cici dn edwin yg dri awal sbnrnya sdh di ingtkan suruh pulang naik mobil panca, di akhir panca mnjdi pnolong dn mnunjukan 5 jri (pancasila) di tngn nya yg bks luka, Arti nya pancasila merangkul smua etnis dn sluruh putra putri  bngsa.;12 jam yang lalu
@REFRAMED;"Bener sih, sempat mikir ""bakal ada sequelnya gk sih ini"" ... tp setelah pikir2 lg, ngapain juga ya ada sequelnya, tujuannya sudah ketemu (nyariin anaknya si cici nya), tp klo semisalnya mau dibuatin sequel kemungkinan plotnya cma berfokus sm survival di masa kerusuhan itu aja, lagian ni endingnya dibikin seolah2 bakal ada sequel gtu kyk temennya edwin tiba2 muncul di akhir sm bu diana dan kristo tiba2 ngilang aja gtu kabur entah nyari bantuan atau emng kabur ajaa, trus anak yg dikurung di loker mungkin ada niatan untuk balas dendam sm jefri tapi jefrinya dah koit...";13 jam yang lalu
@Meruchan4351;"Itu si edwin mau kontak diana

Kan edwin bilang, hubungi saya kalo kalian sudah berhasil keluar, terus dia sadar hp nya ilang
Dan kristo kasih HP nya

Sebelumnya HP kristo langsung di close sehabis kash liat video jefri bunuh temennya tapi gada sinyal

Makanya waktu dia keluarin hp buat cari pertongan atau menunggu kontak dari bu diana dan kristo dengan nyalain hp kristo
Ya yg muncul pertama video jefri yg di minimize sebelumnya

Soal sinyal udh dijelasin di awal kalo disekolah itu sinyal dimatikan karena muridnya tukang nyonytek

Soal security 
Kan mereka tau situasi belom rusuh aja udh mencekam
Apalagi udh rusuh, dan mereka pasti ngerasain jaman 2009 sekacau apa. Mending pulang kerumah amanin anak istri, also mereka jga bilang ""gaji kita kecil buat bertaruh nyawa""

 keliatan jga mereka itu mau resign dari duri
Dari dialog security yg bilang

 ""gua mau kerja jadi pelatih fitness aja""

Alasan gamau kunci pintu ya karena ada diana sama edwin dkk

Itu yg gw rasa si bang";13 jam yang lalu (diedit)
@thinketh_tofu;Intro dari bang Timo emang lain dari yg lain. Aku belum nonton film-nya sih, tapi setelah mendengar penjelasannya, aku bakal paham lebih lanjut setelah nonton secara langsung;14 jam yang lalu
@cakkupen5992;"munurut gw ya saat di gudang akting nya terlalu over jadi kaya anak kecil yang di kurung minta keluar sampe lompat-lompat jadi cringe MENURUT GW trus abis itu di gudang tuh lama banget mikir nya dan disitu edwin jadi tolol abis, mungkin pikiran edwin bener ya buat ambil bapak siapa lah lupa yang di bakar karena emang ga percaya sama si jefri dan menurut gw yang pertama jefri bisa percaya sama si edwin buat keluar temen temenya, tapi yang 2 itu emang jefri bisa mikir kalau ""ni gw gak percaya sama orang ini"", trus edwin ini egois banget cok ya mungkin buat jaga murid sama guru lainya gitu bener sih tapi yang gajelas tuh edwin mau keluar keluar keluar terus untung di tahan sama guru perempuan nya, trus yang kebetulan tuh pas temenya jefri ke wc tiba tiba gajadi milih wc itu malah sebelahnya itu kebetulan banget sih.

buat gw awalnya asik pertengahanya bosenin, dan akhir nya pas bagian gore gore nya yaa asik banget lahh mungkin itu dari gw aja, dari pendapat lu gimana?
dan sekali lagi ini MENURUT PANDANGAN GW";14 jam yang lalu
@ikzzz2;"Bang coba bahas ""Havoc"" netflixx!!";14 jam yang lalu
@kwontollee;20:07 pov davin;15 jam yang lalu
@kwontollee;18:43 pantes ga terlalu menegangkan buat aku, tapi buat si davin katanya menegangkan banget. But i dunno why, tegang di act 1 aja udahnya ga terlalu;15 jam yang lalu (diedit)
@NbhakiemMalaysia;Berani banget lu bang jelekkin nih film,awas bang elu entar diserang Buzzer Buzzer Anak Abah 😂😂😂;16 jam yang lalu
@paqih07;salfok sama backsound intronya, kira² judulnya apa ya? ada yg tau?;19 jam yang lalu
@abrisamnugraha2918;Tumben Gak Post story Instagram;6 hari yang lalu
@galaiy2202; @abrisamnugraha2918  soalnya di undang screening sama bang joko , bukan nonton di bioskop;6 hari yang lalu
@JehtBenben;"Gua setujui sama pendapat mu seharusnya Edwin kalau mau pengertian sama Jeffry saja pasti tidak akan terjadi itu pengepungan di sekolah duri😊
Tapi kan sudah diperlihatkan pas SMA bawa Edwin anaknya cenderung ansos keras kepala dan idealis dari situ aku gua rasa penonton bisa menilai 😊
Tapi memang antara surealis dan realisme saling bertabrakan sih dan terlalu terburu2 dan banyak plot hole nya😊";6 hari yang lalu
@Merahhitamputih-w9q;Nah... Ekspektasi gw mngkin sama kayak awalan lo... Pengepungan... Kayaknya itu bukan pengepungan ya tepatnya... Gw berharap lebih epik, lebih survival... Bagus, tapi biasa... Gampang ketebak. Gw merasa lebih bagus 13 bom atau mencuri raden saleh... Mngkin klo keluar di 2000an lebih kena... 🙏;6 hari yang lalu
@ramadhani0217;Apa yah alasan bang timo dan channel @ngelantur tidak review film norma ?? 😊😊😊;6 hari yang lalu
@MohammedJafin;Bang timo boleh req ga misalkan ada vid ngelantur uncut;6 hari yang lalu
@lordbuzzerp;"Ga semua org fomo ma karya nya JoKan! Cuz gw ga pernah fomo ma karya nya dia! Mostly film2 nya dia Overrated! Ga sesuai yg digembar-gemborkan!👎🏼
Dan menurut gw, Lo lbh paham soal film dibanding Ferry!";6 hari yang lalu (diedit)
@kaiylqniii1578;Mau lu review 1jam juga gw tonton love bet dahh❤😂;6 hari yang lalu
@reezekun2999;Gw juga pikir banyak kebetulan di film ini, matinya si Jefri itu menurut gw deus ex machina juga itu..;6 hari yang lalu
@alviananantha9193;​​ @ramadhani0217  dia nge review yg pengen dia review aja katanya bang, ngedit syuting nya juga sendiri, belum waktu buat nonton film nya, maklumin aja kalau ga semua film di review;6 hari yang lalu (diedit)
@CengkarukChess;nice bang 🔥;6 hari yang lalu
@naiharaaozumin8669;Banh review film Blood Brother,pengarah Syafiq Yusof;6 hari yang lalu
@nyanyiamatir6789;Deadpool bang;6 hari yang lalu
@reezekun2999; @naiharaaozumin8669  Wah jd inget Darius Draven wkwkkw.;6 hari yang lalu
@KamilaNaima-h9l;Gue setuju sama pendapat lu bang;6 hari yang lalu
@Achmadzaidanwafi;​ @MohammedJafin  Uda pernah dibahas bang, dia ga bikin dua versi Uncut dan cut karna dia kerja sendiri g pke team jdi nguras energi lagi;6 hari yang lalu
@bob_marley-t2s;​ @lordbuzzerp bebas menilai;6 hari yang lalu
@ragilpambudi1400;Akhirnya yg ditunggu tiba... Btw gua ikut ke doktrin bng sama cara pikir lu jdi selain bisa menikmati tpi juga tetap teliti haha😋;6 hari yang lalu
@henrydesmo6957;​ @Merahhitamputih-w9q pengepungan jgn di artikan secara harfiah, sama kaya siksa kubur, kan byk org kecele kirain filmnya menceritakan  kondisi saat siksa kubur kenyataannya ngga kan, sama kaya pengepungan bukit duri, pengepungan bukan berarti di kepung ratusan org;6 hari yang lalu
@deimos9;"SMP bang. 

lagian ini film debutnya ponakan joe taslim";6 hari yang lalu
@ikhsankamil1543;Kenapa ga pernah Review pengabdi setan bang;6 hari yang lalu
@KevinTejakusuma208;"DROP, UNTIL DAWN dan THE SNITCH tayang mulai RABU INI
THE ACCOUNTANT 2 tayang mulai JUMAT INI
Wahai netijen";6 hari yang lalu
@KevinTejakusuma208;RIP paus fransiskus;6 hari yang lalu
@hasanbermalam9680;Gua jelasin ke elu masalah sinyal, lu gak nyimak ya.. sinyal di sekolah di setting sejak awal oleh sekolah biar siswa gak nyontek dll di sekolah, dan baru bisa ada sinyal karena si edwin matiin alat penghenti sinyal di sekolah.;6 hari yang lalu
@hasanbermalam9680;Terus masalah lu bilang si edwin kok kayak disetting baru tau jalan keluar? Ini si edwin manusia biasa bukan jagoan atau militer.. coba elu di sekap di ruangan, apa bisa dengan mudah nya bisa keluar? Realistis banget coy si edwin ini;6 hari yang lalu
@hasanbermalam9680; @Merahhitamputih-w9q jauh banget bagusan ini dibanding film bom itu;6 hari yang lalu
@adilaaulahusna;yhah sayangnya aku nontonnya telat 15 menit. Jadi ga liat scene flashback waktu trauma kakaknya Edwin..😢;6 hari yang lalu
@hasanbermalam9680; @lordbuzzerp  bukan masalah fomo sih nyatanya tomothy aja kasih 7.5 artinya ini film bagus.. layak ditonton dibandingin karya karya lain 🤣 yang ratingnya 5 s/d 4 🤣 dua kalinya coy. Gua sih sejauh ini suka sama karya karya JOKAN gak pernah mengecewakan;6 hari yang lalu
