Username;Comment;Time
@mahasiswauiqibogor;Alhamdulillah;2 minggu yang lalu
@dedesudiattaruna4504;Mantap 👍;1 bulan yang lalu
@yanuarovigroup3076;Kelanjutan segmennya mana?ada dibuat playlistnya ga;2 bulan yang lalu
@irfan_azm;Bg feri saya mau tanya, kalo kadar sistem ekonomi pancasila (campuran) kadarnya lebih dominan yang mana ya bg ?, apakah sistem pasar atau terpusat ?;2 bulan yang lalu
@bazheerahafshahaulia4813;Teruntuk Ibu bang Ferry, terima kasih sudah melahirkan bang Ferry. Teruntuk bang Ferry, terima kasih, semoga selalu konsisten berbagi ilmu & kebaikan, dn semoga kehidupan bang Ferry selalu diberkahi Allah ta'ala. Dan teruntuk teman² d kolom komentar, terimakasih sudah berbagi cerita/ pendapat/ sudut pandang. Saya yg ngga punya latar belakang studi ekonomi jadi bisa belajar banyak disini 😁❤.;2 bulan yang lalu (diedit)
@wafiyuddin1959;Keren kak;2 bulan yang lalu
@kyai_funky;"Sy klo ditanya apa itu Ekonomi, sy sll jawab ""Ekonomi berasal dr bahasa Yunani yaitu Ekos dan Nomos"".

Nah klo penanyanya melanjutkan pertanyaannya, ekos dan nomos itu apa?

Sy langsung ngambil kunci motor dan pergi dr situ. 😤";2 bulan yang lalu
@GeDodol-m5o;saya ga paham apa itu ekonomi, tapi saya paham apa itu ekonomi di GAMES! walau tetap ga bisa menjelaskannya. intinya dalam games cuma jaga Pangan, Papan, Kesehatan, Pendidikan, Keamanan! aman dah!;3 bulan yang lalu
@davidsimarmata742;segment lanjutannya mana bang ?;4 bulan yang lalu
@christnanovella5155;undang ibu Sri Mulyani bang;4 bulan yang lalu
@aghaanantyab;kalo ngomongin ekonomi, rajanya udah pasti timothy ronald;4 bulan yang lalu
@amirul40;Terima kasih;5 bulan yang lalu
@kokomi2563;6 : 67;6 bulan yang lalu
@kokomi2563;6:67;6 bulan yang lalu
@silentriders3218;Manlkiw.. belajar kelangkaan 17 thn lalu waktu matrikulasi s2;9 bulan yang lalu
@salmanalfarisi7404;Kode referal nanonya berapa om;10 bulan yang lalu
@nurulsamsibilhuda6236;Siiip Mas 👍;10 bulan yang lalu
@ayubrre;el profesor;10 bulan yang lalu
@ayubrre;bang, ada playlistnya ga?;10 bulan yang lalu
@YugenShow;mantab bangg lanjutkan materi tentang ekonomi karna gw tertarik ilmu ekonomi tapi ada kepentingan kuliah di bidang IT jadi gbisa kuliah ekonomi.;11 bulan yang lalu
@zizahrahma27;Terimakasih bang ferry, aku anaknya gampang bosen dengan pemaparan teori buku. Karena konten konten bang Ferry, jadi bahan referensiku untuk lebih mengerti materi kuliahku🤍🤍;11 bulan yang lalu
@Muhammad.HanafiRahim;"Apakah saya boleh berargumentasi walaupun mengada-ngada saja. Apabila salah mohon dimaafkan. Saya memiliki anggapan yang nyeleneh tapi sedikit masuk akal dan mungkin masuk pada pembahasan ini. 

Mendengar istilah ""duit demi kebutuhan segalanya"" atau ""segalanya butuh duit"" aku rasa anggapan itu harus ku tolak karena ada dua premis. Pertama apakah betul semua kebahagian dan kebutuhan perlu duit? Bukankah ada jalan lain selain menggunakan duit? 
Kedua bagaimana jika dunia ini tidak memiliki duit, apakah akan mengalami hambatan dunia sumber daya bahkan hingga fatal nya ialah krisis sumber daya alam?";1 tahun yang lalu
@ahmyusuff;lanjutin lagi dong bang, gw pengen banget belajar ekonomi lanjutan;1 tahun yang lalu
@Fadliraghiel;Coba bahas MLM, dan Criptocurruncy, bang.;1 tahun yang lalu
@yanuregitama7262;dan sistem ekonomi yang paling sempurna hanyalah sistem ekonomi islam....;1 tahun yang lalu
@abdillahsyukur5431;terima kasih;1 tahun yang lalu
@khan0065;bg. bahas aplikasi SISUKA dong;1 tahun yang lalu
@dunhillmild296;Kurang bang;1 tahun yang lalu
@ahmadirhamsyah3425;kok gw jadi makin bodoh ya...;1 tahun yang lalu
@recehid701;thanks for sharing🙏;1 tahun yang lalu
