Username;Comment;Time
@irhamazisalfalaki3978;Duh baru tau harga kiko taun ini sampe 10 juta😢;1 tahun yang lalu
@IrmaJuwita-se7mu;Bang gojo udah mati;1 hari yang lalu
@LintangLin-m7p;Apasih bang🗿;1 hari yang lalu
@Vanessa_mikhaella;Gojo sama kiko kan kiko di beleh gojo mati nya juga kebelah😂😂😂😂;2 hari yang lalu
@InoyteaInoytea2812;"Bang mau mainan gojo
Ga";8 hari yang lalu
@NurSofiatun-dv6vw;Kan gojo punya kekuatan parpel;12 hari yang lalu
@zunuwanis6275;11:57 jadi pengen nyobain Gojo juga 🤤;2 minggu yang lalu (diedit)
@athanrisky-g6;Gw udah jadi kiko;2 minggu yang lalu
@MahbubyMaulana;Itu prank atau emang begitu ya kok aku nggak ngerti 10 juta dapat kiko di kampungku aja kiko harganya 1000 😑😑😑😑😑 aneh banget,;3 minggu yang lalu
@AldiyarMochlasin;4SAKEN LIGHT;3 minggu yang lalu
@HabibAbib-jy1pi;gojo terpotong jadi es kiko💀;3 minggu yang lalu
@Riski_gamingo9f;"Gojo:nah i,d win
Akhirnya:jadi kiko kebelah 2🗿";4 minggu yang lalu
@zalanibinmohammed8206;Lo baru aku nak beli 😢;4 minggu yang lalu
@rikastefana;Gojo mati nya pernah kebelah bang karena sukuna;4 minggu yang lalu
@ay-yf8ss;bg itu cara mati ny GOJO kebelah 2 gitu kek es kiko💀💀;1 bulan yang lalu
@dafaaska-gm5om;Saya puasa bang;1 bulan yang lalu
@Ponselpaliat-f3g;bang ini puasa bang😂;1 bulan yang lalu
@Ponselpaliat-f3g;bang;1 bulan yang lalu
@riffat.ibnu.setiadi;Bang gojo gw dah kebelah ama sukuna;1 bulan yang lalu
@randyadityarahman8768;Kamu wibu;1 bulan yang lalu
@BRO_BROKU;mahal 😢;1 tahun yang lalu
@taherarfan2897;inflasi;1 tahun yang lalu
@RahmatMegu;Iya;1 tahun yang lalu
@kendyaulia4218;Kiko baru harga baru...membuat dompet kita kering🗿;1 tahun yang lalu
@mamaddah5220;kira kira harga apple berapanya;1 tahun yang lalu
@CordyCepsC;Ril;1 tahun yang lalu
@ahmadabidfaizin577;Maklum harga 10jt soalnya ini varian rasa tinta cumi purba antartika;1 tahun yang lalu (diedit)
@radittiyariski1477;Lebih besar lebih enak tau;1 tahun yang lalu
@Nrchlsfqh;Kiko enak tau;1 tahun yang lalu
