Username;Comment;Time
@AdiYadi-z3r;2070 hrg sekenya 1jt 2 JT nnt;14 menit yang lalu
@MILITER-g1x;Ini hp yang ishowspeed beli gak sih;31 menit yang lalu
@pris9492lia;"Bang, tnyin doank
Apa g ada produsen android bikin 'ANDROID dengan tombol QWERTY ', kya blackberry dulu atau nokia jadul 😂😂

Pingin banger pakek QWERTY biar gak typo2 terus 😂🤣";52 menit yang lalu
@fujia8956;🪾🪾🪾 HP lipat wajib dikasih garansi 12tahun,  WAJIB. (pasti orang sdm rendah bilang gini... tenang ajaaa kan teknologi sekarang bagus.. jadi bakal awet layarnya) hadeeh!;1 jam yang lalu
@hackerjalanan;Unboxing HMD barca bang;1 jam yang lalu
@0takakato;W0w murah sekaleee 50Jt saja..😂😂;2 jam yang lalu
@namikazesaifullah3362;bang... req spesifikasi realme 14 bang🙏🙏;3 jam yang lalu
@nisydanmaulana;Bg coba review omen max 16 bg;5 jam yang lalu
@귤나무-x2h;Bg ceritain tentang kehidupan lu;7 jam yang lalu
@andygarrix3515;Bingung mau beli TG dimana jadi saya putuskan untuk tidak jadi beli huawei XT wkwkwk😂😂;9 jam yang lalu
@bangtarseven7326;Beliin donk bang😢;9 jam yang lalu
@Diditdodot;ngeri salah nekuk;12 jam yang lalu
@DIYANf7xw;🤯🤯wow;12 jam yang lalu
@hansyou-c1e;Ya bagus sih tapi dana gue gk cukup buat beli sbuah hp seharga itu geu gk bilang itu mahal atau murah karena setiap orang punya standar masing2 😅;12 jam yang lalu
@EfriChanel;2,5 JT 😮😮😮😮;12 jam yang lalu
@Raj0755lol;"Mau semahal dan sebagus apapun, perangkat huawei mate terlihat di mata struktur garis di sisi antara lipatan 1 dan lipatan ke tiga di layarnya. 

Mau udah lama pun kita pakai hp itu, tetap terlihat dimata dan jangan menganggu. Makanya saya jual kembali samsung z fold saya, karena sisi lipatan layar sangat mengganggu mata saya.";13 jam yang lalu
@yovanrinda9503;Harga Setara pcku gak habis pikir yg beli hp batangan 50jt sih pc 50jt udah bisa main game grafis rata kanan.;13 jam yang lalu
@yuliani1887;Suka bgt huawei tp sayang kehalang sama sistem oprasi nya.. Install apk sulit dan terbatas. Upgrade sistem apk ribet.;14 jam yang lalu
@Its.anthyy;Ngilerrr 🥹🥹🥹🥹;14 jam yang lalu
@ihwanariga;Indonesia bisa apa;14 jam yang lalu
@tralala2813;Redmi a5 dong bang;14 jam yang lalu
@muhamadnoor9216;Lebih baik beli beras.;14 jam yang lalu
@ChoOdama-t4o;"Bang , kenapa Samsung tidak punya Logo seperti Iphone ( 🍏 apple di gigit ).
Coba di singgung² biar Samsung buat Logo Ⓢ di belakang Hp, saat Hp di nyalain Logo Ⓢ muncul lalu tulisan SAMSUNG GALAXY . Tulisan androidnya di hilagin. 
Biasanya kan kalo Hp nyala tulisan SAMSUNG GALAXY lalu Android. 
Biar ada Nuansa baru untuk SAMSUNG.
Trimakasih.";15 jam yang lalu
@Indrarahmanudin-Draa;Bang david coba review redmi A5;15 jam yang lalu
@mhdravqhan1675;Bg kapan review Xiaomi pad 7;15 jam yang lalu
@its_kleepon;Kaum nonton ntah kapan kesampaian beli☝️😅;15 jam yang lalu
@oweN-8-d3o;"""50 juta aja loh ya""😂";16 jam yang lalu
@fdli14;review tecno camon 40 pro 5g bang;16 jam yang lalu
@VerryUchil;Gua dah beli;16 jam yang lalu
@LUCKIGOD;monggo pak bos;17 jam yang lalu
@Disappear496;D indo gabakal laku sih susah,gaji umr pegawai nya aja minim,1:1000 sama harga hp nya 🤣 kecuali kalangan atas ke atas lgi baru bisa beli tuh hp;17 jam yang lalu
@tonitonigreen;bener bener keren Huawei;18 jam yang lalu
@JarwoSutejo-q5k;Ishowspeed:minggir lo miskin🗿;19 jam yang lalu (diedit)
@channelrizky4141;Bg David review hp Xiaomi redmi 4 turbo dong;19 jam yang lalu
@Violetaz_plant;"Oke udah tau speknya tinggal tunggu duitnyaa








Tapi gatau kapan";20 jam yang lalu
@bachrowimuhammad7280;Mantap bang.....saya request ke bang david untuk review  hp Huawei ini langsung di kabulin.,. Satu lagi  bang kalo bisa review realme Camera ULTRA dong yg ada Lensa DSLR segede gaban....;20 jam yang lalu (diedit)
@belugats;kalau dichannel jerryrig everything pas diadu bind tes dengan Z Fold 6 mate X rapuh kayak kerupuk dan Z Fold 6 No Demage, setiap brand punya kekurangan dan kelebihan berbeda² 😂;21 jam yang lalu
@MuhammadMiftah-d5i;Di endorse bang?;22 jam yang lalu
@tuanahnan;HP SE HARGA KACANG GORENG nanti juga turun harganya, apalagi klo second 6 bulan / 1 tahun lebih;22 jam yang lalu
@campuraduk25;Joss🎉;22 jam yang lalu
@cutecute5000;David...sy kan pengguna setia samsung, skrg di fold 6, td liat fisiknya sih naksir berat, ada google di huawei app gallery bs download...beli jgn nihhh....plse comment ya haha;22 jam yang lalu (diedit)
@yuhsinh8268;"Sebelum gua mendang mending, Untung udah di ingetin sama ishow speed,
''Minggir loe miskin"" 😢";22 jam yang lalu
@erikirianto9157;50jt refresh rate 90hz ??;1 hari yang lalu
