Username;Comment;Time
@ArsalBahtiar;Episode Lanjutan nyobain Jalur darat Trans Papua ke Teminabuan Sorong Selatan https://youtu.be/E8P8CW-fHy0?si=O40MI1XXeKG1lqJG;6 bulan yang lalu
@RiskaDeliana-x7j;kerennn;3 hari yang lalu
@narniaaslan789;murah tu harganya... klu d malaysia harga sudah 1.000.000 juta rupiah lebih;4 hari yang lalu
@SarahAzzalia-yh1lm;keren bang Arsal, aku malah waktu ke Moyo ombak lagi bagus, yang parah waktu dari Halmahera ke Morotai, ombaknya kenceng sekali, Alhamdulillah bisa tiba dengan selamat;4 hari yang lalu
@Gevisual;Baru nemu chanel sekeren ini;5 hari yang lalu
@Doenlannycreator;Luar Biasa inda Alam kami di papua lalu di Jaya sio;7 hari yang lalu
@tazrie9550;"Salam Mas...saya dari Malaysia.

Mau nanya...dari Waisai mau ke Warsambin untuk ke Kali Biru mudah dapatin transport ga?

Mas ada nomor contact transportasi di sana?";7 hari yang lalu
@Rulls_A;Pengisi suaranya fiersa bersari bgt 🎉;8 hari yang lalu
@DhisaLuthfiZibrani;WOW!!! mantull bang. Cara mu mengabadikan papua dengan cinematic mu. Izinkan saya menggunakan beberapa klip dalam video Anda untuk proyek sekolah saya. Saya akan mencantumkan tautan video ini di deskripsi. TERIMA KASIH.🙏🙏;10 hari yang lalu
@TanjungPasturi-x8x4j;Bukan kelana bentala lagi?;10 hari yang lalu
@haerulanwar3549;request maluku utara;13 hari yang lalu
@cyberunsername6751;"*Penawaran Otonomi* memang sering digunakan oleh pemerintah sebagai strategi penguluran waktu** untuk:
- Menghentikan sementara konflik bersenjata
- Membeli waktu untuk memperkuat posisi militer
- Menjadi solusi sementara  dengan pemotongan kekhususan secara bertahap hingga kekhususan tersebut di amputasi total. 
   Dengan demikian, penawaran otonomi tidak selalu tulus untuk diberikan, tapi lebih sebagai taktik untuk mengelola konflik.
  *Otonomi* termasuk dalam kategori taktik:
1. **Taktik Pembagian Perhatian (Divide et Impera)**: Memecah perhatian dan kekuatan gerakan separatis.
2. **Taktik Pengalihan Isu (Issue Deflection)**: Mengalihkan perhatian dari isu kemerdekaan ke isu otonomi.
3. **Taktik Pembelian Waktu (Buying Time)**: Membeli waktu untuk memperkuat posisi pemerintah.
4. **Taktik Pelemahan Gerakan (Movement Weakening)**: Melemahkan gerakan separatis dengan memberikan ""kemenangan"" semu.
   Otonomi secara bertahap akan dikurangi hingga teramputasi sepenuhnya.
  Otonomi adalah strategi penaklukan separatis secara bertahap.";13 hari yang lalu
@barkaaah;Menyala kaks;2 minggu yang lalu
@yasarozega;keren;2 minggu yang lalu
@radianadri;Nice video ❤;2 minggu yang lalu
@andijhonchannel8926;❤❤❤;2 minggu yang lalu
@DodikWadoyo;Narasinya keren 👍;2 minggu yang lalu
@devanzebuaa;bang pengen tau rincian trip ke kali biru;3 minggu yang lalu
@devanzebuaa;bang pengen tau rincian trip ke kali biru;3 minggu yang lalu
@irnamisokataviabosa7167;🥰🥰🥰🥰;3 minggu yang lalu
@kftourtravel570;Berdoa sebelum makan;6 bulan yang lalu
@thesiadjanoma1548;Biak bagus kaimana juga;6 bulan yang lalu
@raskitajhonfreskosurbakti3909;Kaimana, raja Ampat kedua, sy 10 tahun lebih tugas di Papua, sekarang tugas di Sumatera Utara. Saya tetap cinta Papua, pernah tugas beberapa daerah di Papua termasuk Kaimana, teminabuan sorsel saat listrik masih pakai genset, Fakfak dsb;6 bulan yang lalu
@MelianusYukei;Nabire Papua Tengah broo;6 bulan yang lalu
@AndriPratama-w9n;Pulau lemon bg Papua Barat keren;6 bulan yang lalu
@aizahhasan97;Kak, bagusnya kira2 bulan apa ya ke Raja Ampat? Video ini diambil bulan apa kak?;6 bulan yang lalu
@SemWafuway;Bang coba ke Jayapura 😊;6 bulan yang lalu
@Yuprres;Wamena provinsi papua oegunungan abang;6 bulan yang lalu
