Username,Comment,Time
@Snapclips-k9q,ini jaketnya yg dipake bagus ini seri apa yaa?,10 hari yang lalu
@ayahakhirpekan,Video lama kemana bang? Wah harta karun tuh 😢,1 bulan yang lalu
@EllieJoelMiller,"Bang kenapa vidio lamanya hilang ? Dulu di akun you tube lain, aku selalu nonton abang wesley, waktu itu aku belum kerja dan belum bisa beli pakaian. Tapi sekarang aku menjaga penampilan karena kawan aku semua memang menjaga penampilan juga, alhasil aku jadi ikut-ikutan dan suka😂",1 bulan yang lalu
@Travelist7,"Koh, itu jaketnya merk apa ya?",2 bulan yang lalu
@atsireibah6207,"Brandon Balfour, Tim Dessaint, One Dapper Street bagus koh outfitnya",2 bulan yang lalu
@fikrialfianto7682,"koh,gw dulu jaman sma sering liat konten konten styling outfit lu koh. sekarang gw udah kerja mau belajar styling outfit lagi tapi udah gada lagi videonyaa, tolong comeback koh🥺🥺🙏",3 bulan yang lalu
@FaizDaeng,13:35 ini style apaan cok 🤣,4 bulan yang lalu
@gansky999,"masih jadi pertanyaan, kemana video2 lamanya",4 bulan yang lalu
@salmonalfarizi2173,Dulu anda sangat skeptis dengan style yg tidak slim fit,4 bulan yang lalu
@revinnitinegoro71,Oh Punya kamu mau dipecundangin ya,4 bulan yang lalu
@abidabdullah2177,video lama nya pada kemana koh?,4 bulan yang lalu
@muhammadmarsal3465,"This dude is definition of capitalism, don't care about authentic. Everyone have their own style with their personality. Can u imagine someone have old money style with skibidi attitude? Ewhhhh nope -1000 aura",4 bulan yang lalu
@Trevor-z7b,"Cuma style old money yang gw suka, soalnya ga suka celana baggy. Gw stuck di style Alex costa dan Jose Zuniga circa 2017 an (slim fit)",4 bulan yang lalu
@adidasadilettecomfort4640,"skena yg dicontoh masukny streetwear gasi dan ada yg y2k juga, kalau full branded lebih ke hypebeast",4 bulan yang lalu
@yovisimarogo9691,rugged gimana ko,4 bulan yang lalu
@raekana,Bikin trend koh old weebs money style 😂,4 bulan yang lalu
@ghanankjatmiko5674,"Balek kesetelan pabrik nih, alasan gua Sub ya krn   konten kayak gini",4 bulan yang lalu
@Reznov_807,Ko kasih rekomendasi sepatu all white minimalis nya dong atau seenggaknya yg koko pakai sekarang apa?,4 bulan yang lalu
@timothyraphael7904,Style old money jd inget komunitas prindavan di malay 😭,4 bulan yang lalu
@ngoprekterus969,Rugged ga masuk list,4 bulan yang lalu
@SatisfyingNatur,"Iya juga ya, capek2 bikin malah di hapus😅",4 bulan yang lalu
@atsireibah6207,"Tim Dessaint, Brandon Balfour juga ok bro",2 bulan yang lalu
@aaademayem,"Superga 2750 Cotu Classic Full White. Harga ramah di dompet, ngga nyampe 1 juta",4 bulan yang lalu
@Reznov_807,@aaademayem  siapp dicatet dlu ya bang,4 bulan yang lalu
@captainamerica8642,Jamet😭😭😭,4 bulan yang lalu
@alberikusal7543,"Dan nomor 1 sebenarnya lu harus 170cm keatas biar keren soal style.karna kalau lu tinggi kayak apapun dipake bisa cocok.


Note.. tahun 2018-2019 saya gak suka rekomendasi2 lu yg nyaranin celana slim,skrg lu malah gak suka jugakan celana slim.",4 bulan yang lalu (diedit)
@HoshizoraOfficial,"Ko.. Kalau Harajuku Style / Visual Kei, itu masuk kategori Street Wear kah?",4 bulan yang lalu
@Renaldy11,"Old money mah yg style2 koko, tapi mereka rata2 pake jamnya richard milles,patek,rolex dll wkwkwkwk",4 bulan yang lalu (diedit)
@Renaldy11,"Daniel simons+tim dessaint kombo nggak ada lawan.
Nggak tertarik bikin baju/celana yg pernah direview tim tu bang, hitam doang tapi bertexture dan vibenya itu baju mahal, nggak ada alternative lain yg bagus, mungkin abang tertarik bikin",4 bulan yang lalu (diedit)
@tampartambahpintar,bikin rate outfit subscriber dong wkwk,4 bulan yang lalu
@pledge6792,Vintage sbnernya dah lama di anak2 jazz koh,4 bulan yang lalu (diedit)
@riopriyambodo2157,Jamet 🤣,4 bulan yang lalu
@RizalBima-d9v,"ciri khas starboy kabupaten dari gaya rambut, hampir semua sama bang
cukup lihat dari gaya rambut, lu udah tebak stylenya ga jauh dari skinny",4 bulan yang lalu
@Nobody-me2of,9:55 busett ada yang make kaya gitu,4 bulan yang lalu (diedit)
@mohdsyhdan1704,bang react style japanese americana,4 bulan yang lalu
@thoriqsaj9367,Jaket apa itu bro,4 bulan yang lalu
@syogaming9113,Bang ini video yang lama-lama kok ga ada ya ... Udah pada di hapus ?,4 bulan yang lalu
@Penguasa_Manchester,top tier fashion lokal adalah sgnr 🥇,4 bulan yang lalu
@johansanjaya3891,"jadi inget dulu sering bikin konten nge rate ootd netizen yang ngirim foto via email, ngga ada rencana lanjutin konten kaya gitu lagi koh?",4 bulan yang lalu
@dekosteff,Bang Rekomendasi brand gelang tali yang bagus apa ya?,4 bulan yang lalu
@kadaluarangkasa,Celana chino juga skrg keknya outdated malah terlihat lebih up to date ankle formal atau gurkha,4 bulan yang lalu
@laventhia7175,"Pertama bang,,, obat ganteng emang wajib nonton lu hahaha",4 bulan yang lalu
@agusprasetyo6374,Jamet jepang 😅,4 bulan yang lalu
@HoshizoraOfficial,@agusprasetyo6374  wkwkwkk,4 bulan yang lalu
@julianginanjar1331,well klo ko wesley yang nilai sudah jelas bakal ada di C atau D karena sudah outdated dan gasemua orang bisa cocok dengan harajuku. kynya gk masuk kategori street wear soalnya street wear identik sama brand2 yg terkenal ky hype beast dulu.,4 bulan yang lalu (diedit)
@fluxthemagician7928,Di arsip keknya,4 bulan yang lalu
@WesleyHuang,Kek nya kepikiran mge rate ootd influencer x ya...,4 bulan yang lalu
@krisnawan.s,​ @WesleyHuang  Gas ko🔥,4 bulan yang lalu
@rifanimuhammad9039,"klo usia 35 an tinggi badan 165 , pakai celana fiting slim fit atau slim stright masih ok ga koh di tahun 2025",4 bulan yang lalu
@Rey19917,Lho konten nya kok jadi dikit bang​ @WesleyHuang ,3 bulan yang lalu
@aaademayem,Rastaclat,4 bulan yang lalu
@dekosteff,@aaademayem  terimakasih banyak mas.🙏,4 bulan yang lalu
@aaademayem," @dekosteff  Dengan senang hati, Bro",4 bulan yang lalu
@ArifWiwitan,betul wokowkok,4 bulan yang lalu
