Column1;Column2;Column3
Username;Comment;Time
@SalsabillahEffendy;"Kalau Masi banyak yg korupsi di Indonesia susa mau maju biar mau di kasi bagi mana ?
Apa lagi kalau di lindungi korupsi";2 jam yang lalu
@emiramira77;Aku tdk yakin prabowo bisa menyejahterakan rakyat,harga harga sembako selangit,byk phk,cari kerja sulit,krn pekerjaannya sdh di bagi sm pendukungnya;6 jam yang lalu
@DeddyRewang;Hebat...Prabowo Subianto mengangkat citra sdm rakyat indonesia di dunia dan dampak positive yg besar utk kita . (salam hormat dari timika papua ) cerdas SMART;7 jam yang lalu
@bennyoekasah9687;Aneh juga,padahal rakyatnya susah,anak mudanya keluar dulu,jadi bingung kenyataan dan apa yang di katakan ngga nyambung;9 jam yang lalu
@Loverhh275;Baik dan bijaksana peduli dan kharismatik❤;10 jam yang lalu
@RangkaianNarasi;SELAMATKAN INDONESIA DENGAN SAHKAN RUU SITA ASET DAN HUKUM MATI KORUPTOR.;11 jam yang lalu
@darwinsutan6679;Ooooo Rupanya Di Era Joko Republik Ini Tidur Nyenyak wha...ha..ha... Bravo Jendral Republik Kembali Ada Dimata Dunia 👍👍;13 jam yang lalu
@rempahbumiagro2109;Pemimpin berkelas;13 jam yang lalu
@risONE-s4i;Mantap bos... maju 2 periode;13 jam yang lalu
@bahruddinmanik2213;Semoga amanah buat bpk prabowo jd pemimpin G 20;13 jam yang lalu
@batamavac9495;Pak prabowo sangat hebat dia adik daya dunia dia pemberani dimanapun dia berada dia petarung dunia;13 jam yang lalu
@Thomasdkk;Alhamdulillah;14 jam yang lalu
@RonieRichie86;Semoga anda beruntung Mr. President;14 jam yang lalu
@putra-fk4ye;Tarik hutang negara tapi ngasih uang kenegara lain secara cuma2 apa ingin dipuji atau gmn banyak impor sedangkan negara sendiri aja susah jualannya ditambah impor;14 jam yang lalu
@ErnaWati-ds4ki;INDONESIA DI MATA DUNIA SGT DI HARGAI DAN DI KAGUMI❤❤❤,JUSTRU DI DLM BANGSA SENDIRI BXK HASUTAN PARA PEMBENCI 🤣🤣🤣 ANGEEEL2 🤣🤣🤣🤣;15 jam yang lalu
@arifkuswandi4276;Allhamdulilah semoga BPK Prisiden kita Selalu Dilindungi oleh Allah SWT amin YRA❤❤❤❤❤;15 jam yang lalu
@ujangrukmana5935;Selamat Pak Prabowo, semoga NKRI sukses.;15 jam yang lalu
@heruprayogo7257;Apalah artinya jika fakta dilapangan berbeda;16 jam yang lalu
@LesmanaLesmana-k3e;Itu yg bnyak ksih poling pSti bnyakan org indo 😂;16 jam yang lalu
@BLANKSPOT-u2r;Untuk investor Nggak usah buka pabrik di indonesia banyak ormas dan serikat buruh ,kacau minta jatah mulu....dan suka demo minta naik gaji...;16 jam yang lalu
@wellisazkia6703;Manfaat populer itu apa ya? Negara ini susah itu fakta.;16 jam yang lalu
@DavidMunggu;Asalkan korupsi da dan aparat di awasi indonesia cepat maju,pemyakit nya itu huruf ngain mulut ngangak perut bumcit makan duit korupsi gak kenyang2😅;16 jam yang lalu
@hakisrinoto4523;Yaa Allah..... Atas Ridho dan kuasaMU, jadikanlah kami rakyat Indonesia, rakyat yang makmur dan sll mendapatkan keberkahan dariMU...... Aamiin 🤲🙏;17 jam yang lalu
@hakisrinoto4523;Maju terus Pak Prabowo...... Maju terus Bangsa dan Rakyat Indonesia;17 jam yang lalu
@GustianAgus-k5t;Apakah pendukung sebelah yg kiri kanan tuh panas liat ini yah..😂😂;17 jam yang lalu
@Sumaryono-j1l;Pak prabowo memang tdk kaleng2 beliau bukan keturunan org sembarangan dan menantu mantan presiden super powernya indonesia dan juga orgnya pinter lulusan amerika dan dari pasukan elit indonesia KOPASUS.;17 jam yang lalu
@MimiAurora-v3w;Makan beracun gratis apa yg di banggakan;17 jam yang lalu
@RohmansssSyaii;Atau sdh kasian pun seepoh pk jokowiii wes wayae libur kumpul okeh okeh kro anak lan ank bojonee hehe;17 jam yang lalu
@RohmansssSyaii;Bisa juga bapkn pemimpin bila jelemit bisa pamggil bpk jokowi untuk datang dari pada memutuskn kputuskn merugikn...;17 jam yang lalu
@FoneniPay-b4c;Mantap pak prabowo kami sebagai Indonesia bangga;17 jam yang lalu
@andryberkarya;Biar tekor asal ke sohor😂🎉😢😮😅😊😅😮😂😂😂🎉😢😅😊😅😢😂😂🎉😢😮😅😊😊😢😂🎉😮😅😊;17 jam yang lalu
@RizalAbufatih;Gini aja anak abah gak bakalan ada bangganya...;18 jam yang lalu
@ganisri-gx7ln;Ini reporter nggak tahu U15 juara dunia dalam sepakbola;18 jam yang lalu
@SirodSitod;Rakyat Indonesia tidak butuh hanya sekedar kepopuleran , 1:56  TAPI  Indonesia  membutukan Pemimpin  yg Sesuai omongannya Tegas  nyata pro Rakyat  .;18 jam yang lalu
@DafaAlfa-t7n;Bangga dngan presiden kita skg.sehat sllu pak prabowo.insyallah indonesia lebih baik lagi.amin;18 jam yang lalu
@palekocaketv;"Kita tunggu hasilnya dlm pertumbuhan ekinomi 8% yg dijanjikan itu prestasi untuk rakyat yg memilihnya , good job . 
2026 , 2027 , 2028 , 2029 
❤ persatuan indonesia🎉 itu yg bisa menaikan pertumbuhan ekonomi . Faham";18 jam yang lalu
@iswantoiswanto4332;Saya bangga banget presiden saya terpopuler didunia,,selamat buat bpk prabowo ❤;19 jam yang lalu
@YosephPrasetia;"Diluar negeri diakui org luar negeri,
Di dlm negeri bikin pusing masyarakat dgn segala kebijakannya yg blm pro rakyat";19 jam yang lalu
@adestronyess9099;Sedunia mengamini kebaikan dan keseriusan pk prabowo, jika ada yg nyentil sinis kepada beliau keterlaluan,;19 jam yang lalu
@umbulsawunggaling7042;"Tumpuan terbesar kita pada Danantara. Saya sependapat dengan Koh Raymond Chin.
Dengan potensi besar di sektor hilirisasi produk-produk ungguan dunia, maka berpotensi besar pula menarik FDI (Foreign Direct Investmens). Pasti G20 melihat potensi itu, terutama bagi terciptanya berbagai kesepakatan kerjasama ekonomi dengan mereka.
Congratulations Pak Prabowo.";19 jam yang lalu
@mardimagelang2161;Melihat pak Prabowo itu simpel KLO paham dgn tujuan beliau satu satunya tokoh yg duniawi pribadinya sudah tercukup dan finali tapi beliau menyimpan cita cita luhur untuk bangsa ini.yaitu ingin melihat bangsa indonesia maju makmur kuat dan berintegritas sejajar dgn negara dan bangsa lain didunia dan rayatnya makmur.itu aja.the pak prabowo❤❤❤❤❤;19 jam yang lalu
@bangpei967;sudah mulai digoyang konsorsium aki2 ex ABRI,jalan tegak lurus dan tegap pak Prabowo...jgn takut dengan antek2 barat..;19 jam yang lalu
@febry-r6t;preeettttt;19 jam yang lalu
@nurulcyk2762;Mana yg suka xixir kok gak muncul;19 jam yang lalu
@hermanwal5803;Semoga tambah jaya indonesia;19 jam yang lalu
@margakhailul2271;Ya Allah berikan pak prabowo kesehatn dan kekuatan panjang umur.dlm memimpin negara.Amin;19 jam yang lalu
@HerlandsyahMr-xn6fs;Sumpah gua baru ngrasain Indonesia punya prsiden;19 jam yang lalu
@sukaryokaryo3581;Akhirnya penilai 11 klonjotan semakin gak bisa bayar hutang. Masihkah sombong rt lobet dan rt 24.....?;20 jam yang lalu
@masenang7613;Luar biasa, di global ada istilah titipan survey tdk ya...😂, Kalau surveynya ke pengamat dan konten creator indonesia gmn😂 ya?..;20 jam yang lalu
@FansPrabowo08;"jangan cepat puas , kita harus rendah hati tapi jangan rendah diri "" presiden Prabowo Subianto""
Sehat selalu bapak 🇮🇩❤️🤍";20 jam yang lalu
@Yanrafathar;Top Pak prabowo;20 jam yang lalu
@SitiSuryani-k9t;Orang 2 yg udah berhati benci gak mungkin mau mengakui keunggulan lawan 😊 meskipun yg benci se upil tapi bisa menggangu pemerintah an BPK Prabowo Subianto 😢 meskipun dunia mengakui kehebatan Presiden kita 🎉 pembenci tetap lah berhati hitam 😊😊;20 jam yang lalu
@pendiksetiono;Joss, Indonesia terang;20 jam yang lalu
@achomustan;Pengamat sesat selalu mengutamakan keraguan dibanding keberhasilan prabowo... inila pengamat konsisten dngn watak negatifnya terhadap pemerintah😂;20 jam yang lalu
@pujutkatajur9247;Apa yg mau di Bangakan dengan G20 toh tidak ada dampaknya,,yg ada cuma kesengsaraan rakyat,,,,;20 jam yang lalu
@1931-n2d;Luar biasa bapak;20 jam yang lalu
@udinmagebo352;Kok popularitas di G20 ngaruh ke program MBG si? 😂;21 jam yang lalu
@iskandarzulkarnaen4729;Selamat untuk Bapak Presiden Prabowo sebagai pemimpin terpopuler dunia selalu sehat cerdas sukses panjang umur dan bisa menjadikan Indonesia maju;21 jam yang lalu
@bennyasa826;Terpopuler omon omonnya;21 jam yang lalu
@adihariramijan6741;Rakyat butuh pekerjaan dan kebutuhan yg terjangkau.;21 jam yang lalu
@arifsugianto2129;Kerjaan  banyak,, tinggal orangy;16 jam yang lalu
@Berkah9093;Kurang kreatif;15 jam yang lalu
@SENANDUNGRIA;"Bersakit"" dahulu,, bersenang"" kemudian. Masih & harus berjuang.. ga ada kesejahteraan tanpa perjuangan.";4 jam yang lalu
@AJAYSWAN;Prabowo: Jangan Bangga Jadi Anggota G20 Kalau Rakyat Kita Masih Miskin;21 jam yang lalu
@hayrul6044;"Siapa yang melakukan vote? 
Kalau publik secara umum jelas dari indonesia, taukan netizen indo kaya apa?";21 jam yang lalu
@darahnkri1173;"Kata Almarhum Gus Dur..
Kalo orang yg paling IKHLAS kpd Rakyat Indonesia itu Prabowo + Prabowo akan jd Presiden RI di masa Tua ☝️🇮🇩

Kata Panda Nababan Prabowo satu2 ny Presiden RI yg tanpa campur tangan 9 Naga oligarki Krn biaya nyapres sendiri + di bantu adik dan kluarga ny yg TRILIUNER .. maka nya Prabowo GALAK tdk ada yg berani DIKTE ✊💪🇮🇩

Di Republik ini tdk ada yg bisa men DIKTE sang PATRIOT sejati lebih TNI dr bnyak TNI purn Panglima Komando Strategi Angkatan Darat dan Purn Komandan Jenderal Kopassus Presiden RI ke 8 Haji Prabowo Subianto trsbut ✊💪🇮🇩

Tercatat dlm Sejarah Republik ini Prabowo berkali2 pertaruhkan NYAWA hingga Bbrp x hmpir TERB*NUH ketika di kepung Fretelin bkn hnya PETENTANG PETENTENG di blkg tp angkat senjata di GARDA terdepan demi MERAH PUTIH ❤🇮🇩✊💪

Prabowo bkn level2 gubernur.. beliau jauh lbh UNGGUL dr smua LINI 
Prabowo Subianto Sangat MUMPUNI di KANCAH Internasional Penuturan Bahasa Inggris TANPA TEKS jg tanpa I Pad Sangat FASIH mampu meyakinkan pemimpin2 DUNIA / tdk malu2 in BANGSA Indonesia krn beliau Besar Skolah di Jerman, Prancis, Inggris, dll..,dr Segi Ekonomi beliau Sangat Menguasai sbb beliau Pebisnis Sukses Migas dll di lahirkan ke muka bumi ini Dr Putra Begawan Ekonomi Sumitro Djojohadikusumo, cucu Pahlawan Raden Margono pendiri Bank BNI bnyak lg Jam TERBANG Beliau, maka nya beliau tau uang Negara itu BOCOR tp di Ejek2 di HINA2.. BOCOR2 krn yg Menghina Beliau, komplotan on ta dn komplotan ke bo barisan sakit hati para pecundang RT 16 RW 24 yg hati nya Bu suk di penuhi ib Lis see taan trsbut 👈🤮

Prabowo sangat Menguasai Strategi Militer, Geografi Teritorial Kedaulatan Negara Kesatuan Republik Indonesia Raya yg beliau sangat CINTA i ini .. bahwa Republik Indonesia di Kepung negara2 COMMONWEALTH jg Teritorial Natuna, Ambalat dll biar tdk ada yg berani coba-coba mengOBOK2 kedaulatan NKRI.. hanya yg CERDAS yg PAHAM dgn smua SUSUN ATUR KETIKAN BAHASA saya ini kcuali geng2 ke bo dan geng2 on ta trsbut 👈


Yg omon omon itu yaman pelaku korupsi formula E dan janggar pelaku korupsi e KTP bntr lg masuk bui 🤮🤮🤮🤮🤮

Berani SUMPAH 7 keturunan yg nyinyir kejang2 kelojotan baca smua cmmnt gue ini yaitu komplotan on ta dan komplotan ke bo barisan sakit hati para pecundang trsbut 👈👎👎

Prabowo - Gibran 2024 -2029 ✊✊💪💪❤️❤️🇮🇩🇮🇩";21 jam yang lalu
@kurohiki;Sejak isu program pangan sukses besar, pandangan masyarakat mengarah ke positif;21 jam yang lalu
@RudySantoso-x2s;Sehat selalu panjang umur pk Prabowo untuk indonesia maju  10 THN ke depan;21 jam yang lalu
@nafsiahvivo4846;SAYANG WAKILNYA 😅😅;21 jam yang lalu
@tamo_45;Dia aja hidup jokowi..sama antek2 nya;21 jam yang lalu
@tamo_45;Apa yg mau diharapkan dr presiden ini😂😂😂😂 omon omon;21 jam yang lalu
@ZaenudinUsman;Fersi apa itu ??? 😂😂😂 populer di bidang apa itu,???;21 jam yang lalu
