Username,Comment,Time
@GaluhPakuan-e2w,Kalau melihat skill masih dibawah korsel… untung saja pelatih pintar memasang formasi… keren coach nova,10 hari yang lalu
@berbagiituindah4409,Indonesia masih lemah dalam hal duwel,11 hari yang lalu
@Bianglala_Kehidupan87,"Korea selatan lebih hebat cara bermainnya...Aliran serangan begitu deras dibangun dan ciamik demikian pula defendernya...Hanya faktor keberuntungan tak berpihak kepada korsel...""Timnas asuhan coach Nova ""BURUK"" cara mainnya mirip sekumpulan taman kanak - kanak belajar bermain bola""..",11 hari yang lalu
@prawirajavaaltsaqib4038,Indonesia u17 must win again😢,12 hari yang lalu
@Vheeees,90 + 7 = 100 😂 jdi inget bahrain😂,13 hari yang lalu
@TopanPanter,Beruntung TDK selamanya... Semoga skil n cara main indo kita semakin bagus. Fisik makin trjaga,13 hari yang lalu
@PutraPrass-hc2wt,Loyo👎,13 hari yang lalu
@DickyLamongan,Di piaLa Asia dan piaLa dunia timnas senior dan timnas muda u 23 .u22 dan timnas keLompok umur u16 u 17 u 19 u 20,13 hari yang lalu
@DickyLamongan,Lawan timnas sekarang di Piala Asia adalah jepang Iran Australia Korea selatan Arab Saudi Iraq kalok di piala dunia negara negara eropa dan Brazil Argentina Amerika latin Amerika Selatan itu Lawan timnas indonesia,13 hari yang lalu
@mak8818,"Kalah di hujat, menang di hujat. Otak tempe",2 minggu yang lalu
@vanessalorenz9737,Jos,2 minggu yang lalu
@Sunyoto-gq1ky,"Untuk tendangan pinalti ngambil ancang-ancangnya terlalu dekat shingga dapat di baca sama kiper, masak pelatih nggak faham.",2 minggu yang lalu
@jawswatulingascephas9136,"Jujur saja lihat tayangan ulang ini meski tidak full hanya higlight saja pemain kita yang di latih coach Nova Arianto masih kurang dari harapan banyak kesalahan dari tim asuhannya ini yang terlihat dari statistik dimana penguasaan bola dan strategi permainan masih unggul Korea Selatan, penguasaan bola yang sering terlepas umpan-umpan yang masih dari target kaki tim U17 Indonesia seperti dari kaki ke kaki tim U17 Indonesia masih sangat kurang menguasai bola sering mantul dan lepas dari kawalan tim kita, sedang bola sering lepas dari kaki tim U17 Garuda Muda Indonesia, jujur kemenangan kali ini hanya terjadi dari kesalahan pemain U17 KorSel dimana saat bola tendangan yang spekulasi dari Fandi Ahmad nomor pungung 11 dan kena pantulan kaki Matthew Bakker yang tak sengaja mengenai salah satu pemain bertahan Korea Selatan benomor punggung 5, maka wasit memberikan pluit Penalti bagi Tim Indonesia, lalu tendanga 12 pass tersebut di eksekusi oleh Defandra dan bola yang diancang-ancang kaki ditempat dan tergerak kesebelah kiri gawang Korea Selatan kebaca kiper lawan namun bola lepas dari dekapan kiper Korea Selatan, dan langsung di sambar oleh Defandra dan membuahkan Goal, jika dilihat dari hasil permainan ini bahwa seluruh dominasi permainan total dikuasai Tim Korea Selatan U17 karena jelas penguasaan Bola tentu Korea Selatan hampir menguasai permainan, Tim U17 Garuda Muda Indonesia perlu di asa kembali dan evaluasi agar kesalahan kesalahan U17 Tim Indonesia yang di latih Coach Nova untuk tidak memalukan saat bermain di lapangan kembali melawan Tim-Tim kuat di lapan besar selanjutnya, Support Tim U17 GRUDA MUDA dan Coach Nova agar mengevaluasi kembali latihan untuk lebih sempurna agar menahan bola dari kaki-ke kaki harus lengket jangan lepas mengawal bola, speedpun masih belum bisa mengalahkan pemain Korea Selatan jujur Speed kita sangat jauh kecepatannya, latihan boleh gaya meliter namun perhatikan bukan paha otot yang besar juga yang menang speed namun kaki dan kelincahan yang terlatih dan kuat gerakan centrifugal atau keseimbangan grafitasi yang menawanlah dan unggul dalam kecepatan dimana antara kecepatan dan volume badan, kelenturan harus diperhatikan untuk bergerak dengan gesit, itu dapat dilihat pemain Korea Selatan dan Tim Jepang bisa menjadi ukuran untuk dilewati",2 minggu yang lalu
@rusmo166,"Korsel lagi apes..,itulah sepak bola.",2 minggu yang lalu
@rusmo166,"Korsel lagi apes..,itulah sepak bola.",2 minggu yang lalu
@berkahmandiri-s7c,no 9 ngak bagus,2 minggu yang lalu
@PiterFlorasta,Lanjutkan Nyong Flores Rasta (FLORASTA),2 minggu yang lalu
@RicoSapsena,"Trus terang,jika msh ada yg bilang Indonesia menang Krn keberuntungan,itu artinya org tsb org gila..emangnya kalian pikir Indonesia itu TDK bagus main bola?? Bukan cuma negara Korea saja yg bagus dijaman skrg ini,,paham kalian ya",2 minggu yang lalu
@zulfahmiaqib6624,"Bnyak peluang korea ga bisa gol, nasib indonesia bisa menang",2 minggu yang lalu
@PokokeJoko,"kelemahan indo dari dulu itu saat di depan gawang, saat menembak ke gawang saya nilai belum terlatih, beda dengan pemain2 eropa. Kalau ini di perbaiki, semoga indo sangat maju",2 minggu yang lalu
