Column1;Column2;Column3
Column1;Column2;Column3
Username;Comment;Time
@AdiYadi-z3r;2070 hrg sekenya 1jt 2 JT nnt;14 menit yang lalu
@MILITER-g1x;Ini hp yang ishowspeed beli gak sih;31 menit yang lalu
@pris9492lia;"Bang, tnyin doank
Apa g ada produsen android bikin 'ANDROID dengan tombol QWERTY ', kya blackberry dulu atau nokia jadul 😂😂

Pingin banger pakek QWERTY biar gak typo2 terus 😂🤣";52 menit yang lalu
@fujia8956;🪾🪾🪾 HP lipat wajib dikasih garansi 12tahun,  WAJIB. (pasti orang sdm rendah bilang gini... tenang ajaaa kan teknologi sekarang bagus.. jadi bakal awet layarnya) hadeeh!;1 jam yang lalu
@hackerjalanan;Unboxing HMD barca bang;1 jam yang lalu
@0takakato;W0w murah sekaleee 50Jt saja..😂😂;2 jam yang lalu
@namikazesaifullah3362;bang... req spesifikasi realme 14 bang🙏🙏;3 jam yang lalu
@nisydanmaulana;Bg coba review omen max 16 bg;5 jam yang lalu
@귤나무-x2h;Bg ceritain tentang kehidupan lu;7 jam yang lalu
@andygarrix3515;Bingung mau beli TG dimana jadi saya putuskan untuk tidak jadi beli huawei XT wkwkwk😂😂;9 jam yang lalu
@bangtarseven7326;Beliin donk bang😢;9 jam yang lalu
@Diditdodot;ngeri salah nekuk;12 jam yang lalu
@DIYANf7xw;🤯🤯wow;12 jam yang lalu
@hansyou-c1e;Ya bagus sih tapi dana gue gk cukup buat beli sbuah hp seharga itu geu gk bilang itu mahal atau murah karena setiap orang punya standar masing2 😅;12 jam yang lalu
@EfriChanel;2,5 JT 😮😮😮😮;12 jam yang lalu
@Raj0755lol;"Mau semahal dan sebagus apapun, perangkat huawei mate terlihat di mata struktur garis di sisi antara lipatan 1 dan lipatan ke tiga di layarnya. 

Mau udah lama pun kita pakai hp itu, tetap terlihat dimata dan jangan menganggu. Makanya saya jual kembali samsung z fold saya, karena sisi lipatan layar sangat mengganggu mata saya.";13 jam yang lalu
@yovanrinda9503;Harga Setara pcku gak habis pikir yg beli hp batangan 50jt sih pc 50jt udah bisa main game grafis rata kanan.;13 jam yang lalu
@yuliani1887;Suka bgt huawei tp sayang kehalang sama sistem oprasi nya.. Install apk sulit dan terbatas. Upgrade sistem apk ribet.;14 jam yang lalu
@Its.anthyy;Ngilerrr 🥹🥹🥹🥹;14 jam yang lalu
@ihwanariga;Indonesia bisa apa;14 jam yang lalu
@tralala2813;Redmi a5 dong bang;14 jam yang lalu
@muhamadnoor9216;Lebih baik beli beras.;14 jam yang lalu
@ChoOdama-t4o;"Bang , kenapa Samsung tidak punya Logo seperti Iphone ( 🍏 apple di gigit ).
Coba di singgung² biar Samsung buat Logo Ⓢ di belakang Hp, saat Hp di nyalain Logo Ⓢ muncul lalu tulisan SAMSUNG GALAXY . Tulisan androidnya di hilagin. 
Biasanya kan kalo Hp nyala tulisan SAMSUNG GALAXY lalu Android. 
Biar ada Nuansa baru untuk SAMSUNG.
Trimakasih.";15 jam yang lalu
@Indrarahmanudin-Draa;Bang david coba review redmi A5;15 jam yang lalu
@mhdravqhan1675;Bg kapan review Xiaomi pad 7;15 jam yang lalu
@its_kleepon;Kaum nonton ntah kapan kesampaian beli☝️😅;15 jam yang lalu
@oweN-8-d3o;"""50 juta aja loh ya""😂";16 jam yang lalu
@fdli14;review tecno camon 40 pro 5g bang;16 jam yang lalu
@VerryUchil;Gua dah beli;16 jam yang lalu
@LUCKIGOD;monggo pak bos;17 jam yang lalu
@Disappear496;D indo gabakal laku sih susah,gaji umr pegawai nya aja minim,1:1000 sama harga hp nya 🤣 kecuali kalangan atas ke atas lgi baru bisa beli tuh hp;17 jam yang lalu
@tonitonigreen;bener bener keren Huawei;18 jam yang lalu
@JarwoSutejo-q5k;Ishowspeed:minggir lo miskin🗿;19 jam yang lalu (diedit)
@channelrizky4141;Bg David review hp Xiaomi redmi 4 turbo dong;19 jam yang lalu
@Violetaz_plant;"Oke udah tau speknya tinggal tunggu duitnyaa








Tapi gatau kapan";20 jam yang lalu
@bachrowimuhammad7280;Mantap bang.....saya request ke bang david untuk review  hp Huawei ini langsung di kabulin.,. Satu lagi  bang kalo bisa review realme Camera ULTRA dong yg ada Lensa DSLR segede gaban....;20 jam yang lalu (diedit)
@belugats;kalau dichannel jerryrig everything pas diadu bind tes dengan Z Fold 6 mate X rapuh kayak kerupuk dan Z Fold 6 No Demage, setiap brand punya kekurangan dan kelebihan berbeda² 😂;21 jam yang lalu
@MuhammadMiftah-d5i;Di endorse bang?;22 jam yang lalu
@tuanahnan;HP SE HARGA KACANG GORENG nanti juga turun harganya, apalagi klo second 6 bulan / 1 tahun lebih;22 jam yang lalu
@campuraduk25;Joss🎉;22 jam yang lalu
@cutecute5000;David...sy kan pengguna setia samsung, skrg di fold 6, td liat fisiknya sih naksir berat, ada google di huawei app gallery bs download...beli jgn nihhh....plse comment ya haha;22 jam yang lalu (diedit)
@yuhsinh8268;"Sebelum gua mendang mending, Untung udah di ingetin sama ishow speed,
''Minggir loe miskin"" 😢";22 jam yang lalu
@erikirianto9157;50jt refresh rate 90hz ??;1 hari yang lalu
@moh.irsyadolii2400;"Untuk next konten review hp tolong tes pubg juga bang jgn cuma ML sma Gensin..banyak yg nonton lu juga player pubg..liat rekomen hp buat pubg yg muncul di tiktok pasti confirm ke lu..klo kata lu bagus org langsung beli..klo menurut gw..lu org yg gw percaya untuk rekomendasi hp..klo kata lu kurang aku g jdi beli hpnya..
JDI TOLONG BANG PUBG JUGA DI MASUKAN KE REVIEW HP JGN ML MULU SMA GENSIN..KRNA KITA PLAYER PUBG MAU LIAT GRAFIS PUBGNYA DPT 90 ATAU 120FPS.. 
TERIMAKASIH ATAS PERHATIANNYA 🥰";1 hari yang lalu
@adirifaipuadhasan7479;Berapa tingkat daya tahan keausan kabel fleksibelnya ?;1 hari yang lalu
@ubisolim6515;Tungguin Huawei pura x lebih unik dan tampil beda;1 hari yang lalu
@delapuspitasari2310;bagusan Huawei atau samsung;1 hari yang lalu
@MINECRAFTbedrock-h7t;0:49 50 juta mana ada doang baang😭;1 hari yang lalu
@RandomShorts-2022;Nunggu hrganya 3jt;1 hari yang lalu
@SUORONEALAM;Perodak AS meradang wkwkwk;1 hari yang lalu
@yoyonmulyono8249;Gak pernah suka sih dg hp lipat, 😅 lipatan dilayarnya itu loh 😂;1 hari yang lalu
@taufikhidayah2525;Review hp adiknya yang baru launching honor 200 pro bang David;1 hari yang lalu
@imapwetty_;IShowSpeed belinya langsung 3 sekalian 😂;1 hari yang lalu
@YonasChannel-w5b;🔥🔥🔥🔥🔥🔥;1 hari yang lalu
@daily.rt7278;yg dipake speed main papji;1 hari yang lalu
@nikoeyl0320;Channel favorit yg lama kelamaan gua benci karna aplod se abad sekali;1 hari yang lalu
@GEDRAMA77;Yg honor juga makin kesini makin meresahkan🤣🤣🤣;1 hari yang lalu
@GEDRAMA77;Ini br prtma kali loncing aja udh d serbu bang pd ngantri😂😂🤣🤣🤣 wktu itu smpt viral d weibo krn smpt lgsung hbs wkwkwkw hrga nya 49jta dsna😁tp jjr ini jossssss bhkan skrg pemain drama shoot aja rata² sdh jarang yg pakai IP rata2 pakai honor huwaei 🤭;1 hari yang lalu
@tobruthunters21;Beli ah besok;1 hari yang lalu
@tahtavlog5280;Aku aja masih pakai hp redmi 9a 2/32 kalau kebanyakan video langsung ngelag? Memori penuh;1 hari yang lalu
@AdeBARBAR87;Mau hp huawei gk yg lipet 3...? Tpi ngertikan harus ngapain dulu sama om😊;1 hari yang lalu
@vaisihombing9777;Nonton HP 50 juta ++ pakai samsung J7 Prime 😂😂😂;1 hari yang lalu
@kaindradzuhairi9398;Pin produsen hp terkenal lainya . Sejalan sama consept batrainya. Si huaweii;1 hari yang lalu
@arsdanime8520;Bang ada hp baru buatan eropa yg dijual resmi di indonesia, i, n, o, i review dong;1 hari yang lalu
@beebee3956;Tetap nyantai pake MI 10T PRO🤣🤣;1 hari yang lalu
@fikriazharimashum9948;Bang David Bahas Inoi A75... Hp brand eropa harga 2,9 rom 512 g;1 hari yang lalu
@PariSap-h1z;Speaker nya bagus mana antara honor x9c dengan redmi noe14 pro 5g...;1 hari yang lalu
@ADITYA-CH-OFFICIAL;Hp ipong mana bisa kek gini🤪🤪🤪;1 hari yang lalu
@edrinrachmad3578;"info donk. 
utk hp yg punya fiture ""bypass charging"" waktu kita ngecas dgn nyalain fiture tsb apakah daya baterai akan bertambah? secara logika sih seharusnya engga yah.. gw google jg info yg gw dpt ""baterai engga bertambah"" ... tp infinix hot 50 pro+ gw kok baterainya bertambah waktu nyalain fiture tsb sambil gw pake nonton netflix.
klo ada yg bisa ngasih info baik dari gadgetin atw viewernya terima kasih bgt🙏🙏";1 hari yang lalu
@ardisaputra9294;0:32 Jir😂😂;1 hari yang lalu
@dpindo7287;Wlee🤪🤪🤪;1 hari yang lalu
@tachoblacksquad;"Gua dari iphone 15 pro max langsung ganti ini HP... Apalagi waktu di review i show speed beh GG

Ternyata benar yang di takuti USA itu produk produk china";1 hari yang lalu
@GayuhGayuh-y6c;0:32 🗣️minggirlu missquen minggirlu missquen;1 hari yang lalu
@fikovandores8428;bulan depan mau beli hp ini saya... Amiiin;1 hari yang lalu
@hanafi2150;Bayangin kalau ngelipatnya terbalik😂😂😂;1 hari yang lalu
@muhammaddaffaalfatih3066;Semisal jatuh bagian layar depan, ganti nya berapa tu ya? 😢;1 hari yang lalu
@koko_wara6312;Keseruan liat dunia gadget yg berlomba2 nampilin kemajuan teknologi dr brand tersebut, tp masih heran sma brand 🍏 yg tampilannya masih gtu2 aja 🫣;1 hari yang lalu
@ddan444;Minggir lu misquen;1 hari yang lalu
@mazariegerbera9761;Layar kaca hp saya  pecah karena sudah 3 tahun di pake jadi ga keliatan kacanya pecah;1 hari yang lalu
@ikhsanisa;hp Lama lama seukuran karpet;1 hari yang lalu
@rizqi8938;Mending  esia hidayah;1 hari yang lalu
@Andirezpec;Apa Lah Daya Yg Gajih Nya 3jtn liat harga Hp ini 😅;1 hari yang lalu
@furkankarim5022;Buatan china 6 bulan juga udh rosakkk itu flaxible nya;1 hari yang lalu
@newvezz9507;Dipake ngegrab cocok banget kayaknya 😅😅;1 hari yang lalu
@wahyudi0130;Bahas vivo y29 bg 🙏🙏🙏;1 hari yang lalu
@Somplaxxx98;Meskipun belum bisa beli, tetap saya tonton. Semoga kelak saya bisa beli sesuatu dg harga mahal namun tidak merasa keberatan ❤;1 hari yang lalu
@margarettan2079;Gadgetin pernah bikin 10 rekomen hp berdasarkan kamera terbaik ga y?;1 hari yang lalu
@rioerickson7057;Yg Lagi Nonton Skrng?;1 hari yang lalu
@nauvalhudjaipa3624;Harga 50 juta ga wort it lah mending beli motor;1 hari yang lalu
@harifinthelast9671;ya allah dua bulan gajih gw di Korea 😢😢😢😢;1 hari yang lalu
@hukummatikoruptor-h7h;SALES CHINA;1 hari yang lalu
@BellaYuliani-s8z;gilaa berubah dratis cok main disini;1 hari yang lalu
@lieskrisnawati6627;Bg coba review hp vivo Y91c bg pliss😊😊😊;1 hari yang lalu
@ImanSuhermanStory;GEGARA ISHOW SPEED,JADI MAHAL HP INI😂😂😂;1 hari yang lalu
@riska1252;Jadi tambah miskin;1 hari yang lalu
@MegaDewi-r9c;wajib di coba sih bagi yang belum coba mantep banget;20 jam yang lalu
@rendylombam2187;Bg tablet honor yang baru kapan di riview;1 hari yang lalu
@pauzanpauzan1385;Banga riview Xiaomi pad 7 dong;1 hari yang lalu
@MasJun-k9f;Pliss Oppo K12s 5G bang....😢;2 hari yang lalu
@WhyDoYouDoubt;Gara-gara IshowSpeed Hpnya langsung cepat menyebar seluruh dunia, kasian AS yg lagi perang dagang sama China;2 hari yang lalu
@tracytracy5605;Apa ada yang beli?;2 hari yang lalu
@Spirit-v2t;🇨🇳Amazing...China the number one 🥇 is the best 👍💯🇨🇳🎉👍;2 hari yang lalu
@Captain-America-Super;iPhone aja dikit lagi, makin menurun penjualannya... Wkwkwk 😂;15 jam yang lalu
@usmanhasan5516;mudahan awet layarnya.;2 hari yang lalu
@tanboykim;Buat apa beli HP mahal mahal fungsinya cuma bisa telpon dan SMS. Ga ada PlayStore, gabisa WA, gmail, youtube, gabisa maen game.;2 hari yang lalu
@Macanklb09;Santai brow kan ada harmoni 😂;2 hari yang lalu
@taibelek-t1g;Gue udah beli kemarin 5, buat hadiah pacar sama kluarga gue;2 hari yang lalu
@novadwi6888;Tidak ada google? Mungkin ini saatnya pakai petal 😎;2 hari yang lalu
@ayashamalia;aku punya 100k nih kurang berapa ya;2 hari yang lalu
@1212ImAnubis;Kalau saya tinggal di China, saya ambil Huawei. Sayangnya saya tak menetap di China jd pilihan tetap SAMSUNG kecuali ekosistem Huawei sudah bagus.;2 hari yang lalu
@yusufsetyawan4723;Nunggui david bahas light saber;2 hari yang lalu
@mendoza8755;Underrated brand.Much more better than  Sams***  or App** in its Class.;2 hari yang lalu
@cintaibojone;saya udah punya dari 6 bulan dulu. saya tinggal di china disini harganya murah;2 hari yang lalu
@CandID-he;"Cara halus atau kasar untuk
menjegal kompetitor
Huawei udah mau nyusul,
Langsung dibanned-bukan karena kurang bagus, tapi justru karena terlalu bagus.
Mamarika ada-ada saja akalnya 😅";2 hari yang lalu
@reviewapaajadeh3079;Jgn d beli guys.. d china ni hp ud sampah bnr , kerusakan layarnya cepet bngd ,engsel bagian kiri itu lebih loss d tambah update aplikasi kacau bngd dah..;2 hari yang lalu
