Username,Comment,Time
@arsene476,9:13 ☝🏻👈🏻 - 👉🏻☝🏻,5 bulan yang lalu
@LarasAgnesia,Telat nonton,22 jam yang lalu
@silvieamaehdalena1188,𝙶𝚊𝚋𝚞𝚝𝚝𝚝𝚝𝚝𝚝𝚝𝚝𝚝,12 hari yang lalu
@ikhwanizzulhaq6324,Seru 4:38,2 minggu yang lalu
@Inisjal_R,29:25 ih colok colokan,2 minggu yang lalu
@mumuhmuhrita1754,kotbar ya,2 minggu yang lalu
@vjake6560,Itu di daerah parahyangan ya,2 minggu yang lalu
@Al-nw9xw,5:38 malah ngevidion anjir😅😅😂😂😂😂😂,3 minggu yang lalu
@SiPalingkecot127.,keenan anak mamii😂,4 minggu yang lalu
@KrisTian-p6s,p,4 minggu yang lalu
@EntitasAnomaliTakDikenal,Koleksi senjata pak S,1 bulan yang lalu
@vickyperansntoyo257,Ngakak bgt org buta warna di suruh main gem kyk gitu 8:10,1 bulan yang lalu
@sigittea969,"keenan hyu ke baltoss, mumpung aku tinggal jalan euy",1 bulan yang lalu
@nooatakaa,"Terimakasih ayah mimi dan keluarga kecil👶🏻🤏🏻 
i wish goᩚd be given health and ease a family full of warmth aamiin 🤗✨️. 
𓆟 𓆞 Palpale𓆝 𓆟",1 bulan yang lalu
@DuanDiego,Eno bening bang,1 bulan yang lalu
@FaizlirZ172,telat 3 bulan gak ngaruh,2 bulan yang lalu
@rinafauziah3190,Nnael sekarang trial trial di onic ya apa gmna,2 bulan yang lalu
@firzadurraniyeza,eh sir v tempelin sub sunda nya atuh lier aing mah teu nyaho sunda,2 bulan yang lalu
@suciptowarno2357,celing ganteng bngttt klo dari dkt,2 bulan yang lalu
@Rakha23-m2j,"Pasar malem x
Pasar sore ✓",3 bulan yang lalu
@nayla-l7n3s,Biar apa coba bbg😂😂,5 bulan yang lalu
@alfixxz,​@KayOfficial-q7fbiar di pin😹,4 bulan yang lalu
@Orangasing3651,Nama DJ nya dong,3 bulan yang lalu
@Vinzz-f8v,Singkat saja ew in  wkwkkwkwkw,3 bulan yang lalu
@rumputlaut11,telat 2 bulan ga ngaruh:_awoo:,3 bulan yang lalu
@imronfaozi4246,Kasian bapak nya 😂😂,3 bulan yang lalu
@FERDIGB-f8c,Dapat el pistol,3 bulan yang lalu
@FERDIGB-f8c,Baru tau kalo ada youtuber kaya gini 🗿bisasa nya cuma muncul di tiktok,3 bulan yang lalu
@sultanmerangin4835,upi aim pebe,3 bulan yang lalu
@whynoo00t,Mommy pelihara ikan ayah pelihara kuda jingkrak,3 bulan yang lalu
@SalZzdotcom,AWOOOO,3 bulan yang lalu
@HapidzDika,Banyakin lagi bang konten Kya gni aku sangat terhibur,3 bulan yang lalu
@nadyasalsabila6022,SERU PISAN,3 bulan yang lalu
@FatanMurtado,24:25 javierstory jirlah,3 bulan yang lalu
@mkeyoncalala,Eta ku kakang ku kakang,3 bulan yang lalu
@MuhammadsahlanMuhammadsahlan,Kapan live lagi,3 bulan yang lalu
@Serieuzzz,jadi el pistol gini euy wkwk,3 bulan yang lalu
@zannn-ny1pd,Jangan salah pasangan,4 bulan yang lalu
@AdDurrunnafis-od6mb,Kok bg upi kayak gk seneng 😢,4 bulan yang lalu
@azril1799,"lebih seru si kanyut, lebih aktif",4 bulan yang lalu
@shafwh6935,Di bumi hejo sama pancawarna 2 ya bang,4 bulan yang lalu
@NehanNehan-c5m,:_gyat::_gyat::_gyat::_gyat:,4 bulan yang lalu
@waaasiwaa,26:01 CAPE BANGETT😭😭😭,4 bulan yang lalu
@Azazelews,i Miss Fandi,4 bulan yang lalu
@dyywhy,celink diliat liat kayak super mario,4 bulan yang lalu
